Type;dm_maximum_mass_displacement (t);Loa_Length_overall (m);Lbp_length_between_perpendiculars (m);B_beam (m);T_laden (m);Cb_block_coefficient ();Capacity;dm_fully_laden (t);Lateral_windage_fully_loaded (m2);Lateral_windage_in_ballast (m2)
Tankers (ULCC);350000;365;345;65.5;22;0.82;;420000;5400;9200
Tankers (ULCC);400000;380;358;68;23;0.83;;475000;5700;9700
Tankers (ULCC);500000;415;392;73;24;0.84;;590000;6400;11000
;;;;;;;;;;
Type;dm_maximum_mass_displacement (t);Loa_Length_overall (m);Lbp_length_between_perpendiculars (m);B_beam (m);T_laden (m);Cb_block_coefficient ();Capacity;dm_fully_laden (t);Lateral_windage_fully_loaded (m2);Lateral_windage_in_ballast (m2)
Tankers (VLCC);200000;310;294;55;18.5;0.8;;246000;4000;6800
Tankers (VLCC);225000;320;303;57;19.3;0.81;;277000;4300;7300
Tankers (VLCC);250000;330;312;59;19.9;0.81;;305000;4600;7700
Tankers (VLCC);275000;340;321;61;20.5;0.81;;335000;4900;8200
Tankers (VLCC);300000;350;330;63;21;0.82;;365000;5100;8600
;;;;;;;;;;
Type;dm_maximum_mass_displacement (t);Loa_Length_overall (m);Lbp_length_between_perpendiculars (m);B_beam (m);T_laden (m);Cb_block_coefficient ();Capacity;dm_fully_laden (t);Lateral_windage_fully_loaded (m2);Lateral_windage_in_ballast (m2)
Tankers;60000;217;206;36;13;0.79;;78000;2150;3500
Tankers;70000;225;213;38;13.5;0.8;;90000;2250;3700
Tankers;80000;235;223;40;14;0.8;;102000;2450;4000
Tankers;100000;250;236;43;15.1;0.8;;125000;2750;4500
Tankers;125000;270;255;46.5;16;0.8;;156000;3100;5100
Tankers;150000;285;270;49.5;16.9;0.8;;186000;3400;5700
Tankers;175000;300;285;52.5;17.7;0.8;;217000;3750;6200
;;;;;;;;;;
Type;dm_maximum_mass_displacement (t);Loa_Length_overall (m);Lbp_length_between_perpendiculars (m);B_beam (m);T_laden (m);Cb_block_coefficient ();Capacity;dm_fully_laden (t);Lateral_windage_fully_loaded (m2);Lateral_windage_in_ballast (m2)
Product and Chemical Tankers;3000;90;85;13;6;0.72;;4900;400;600
Product and Chemical Tankers;5000;110;104;15;7;0.71;;8000;500;800
Product and Chemical Tankers;10000;145;137;19;7.8;0.72;;15000;760;1200
Product and Chemical Tankers;20000;174;165;24.5;9.8;0.71;;29000;1100;1800
Product and Chemical Tankers;30000;188;178;28;10.8;0.76;;42000;1400;2200
Product and Chemical Tankers;40000;200;190;30;11.8;0.78;;54000;1650;2600
Product and Chemical Tankers;50000;210;200;32.2;12.6;0.79;;66000;1900;3000
Type;dm_maximum_mass_displacement (t);Loa_Length_overall (m);Lbp_length_between_perpendiculars (m);B_beam (m);T_laden (m);Cb_block_coefficient ();Capacity;dm_fully_laden (t);Lateral_windage_fully_loaded (m2);Lateral_windage_in_ballast (m2)
Bulk Carriers /OBOs;10000;130;124;18;7.5;0.76;;13000;1200;1800
Bulk Carriers /OBOs;20000;160;152;23.5;9.3;0.76;;26000;1400;2300
Bulk Carriers /OBOs;40000;195;185;29;11.5;0.79;;50000;1700;2800
Bulk Carriers /OBOs;60000;220;210;33.5;12.8;0.8;;74000;2050;3500
Bulk Carriers /OBOs;80000;240;228;36.5;14;0.82;;98000;2450;4200
Bulk Carriers /OBOs;100000;255;242;39;15.3;0.82;;121000;2700;4800
Bulk Carriers /OBOs;125000;275;262;41.5;16.5;0.82;;150000;3000;5400
Bulk Carriers /OBOs;150000;290;276;44;17.5;0.82;;179000;3250;5900
Bulk Carriers /OBOs;200000;315;300;48.5;19;0.83;;236000;3600;6900
Bulk Carriers /OBOs;250000;335;318;52.5;20.5;0.83;;292000;4000;7700
Bulk Carriers /OBOs;300000;350;333;56;21.8;0.84;;350000;4250;8200
Bulk Carriers /OBOs;350000;362;344;59;23;0.85;;406000;4400;8500
Bulk Carriers /OBOs;400000;375;356;62.5;24;0.85;;464000;4500;8700
;;;;;;;;;;
Type;dm_maximum_mass_displacement (t);Loa_Length_overall (m);Lbp_length_between_perpendiculars (m);B_beam (m);T_laden (m);Cb_block_coefficient ();Capacity;dm_fully_laden (t);Lateral_windage_fully_loaded (m2);Lateral_windage_in_ballast (m2)
